Date,Type,Platform
2020-02-03,Metadata optimisation,iOS
2020-03-09,LiveExp - Creative (iOS),iOS
2021-08-03,Creative optimisation,iOS
2021-08-17,Metadata optimisation,iOS
2021-08-31,Creative optimisation,iOS
2021-09-21,Creative optimisation,iOS
2021-09-27,Metadata optimisation,iOS
2022-05-26,Metadata optimisation,iOS
2022-07-18,Metadata optimisation,iOS
2022-09-13,Creative optimisation,iOS
2020-02-03,Metadata optimisation,GP
2020-03-04,GoogleExp - Creative,GP
2020-03-04,GoogleExp - Creative,GP
2021-07-31,Creative optimisation,GP
2021-07-31,Creative optimisation,GP
2021-08-07,Metadata optimisation,GP
2021-08-27,GoogleExp - Creative,GP
2021-08-31,GoogleExp - Creative,GP
2021-09-21,Metadata optimisation,GP
2022-04-20,Creative optimisation,GP
2022-06-14,Metadata optimisation,GP
2022-07-18,GoogleExp - Creative,GP
2022-07-19,Metadata optimisation,GP
2022-09-10,Creative optimisation,GP
